animal
Aardvark
Aardwolf
Abyssinian
Abyssinian Guinea Pig
Acadian Flycatcher
Achrioptera Manga
Ackie Monitor
Addax
Admiral Butterfly
Adélie Penguin
Aesculapian Snake
African Bullfrog
African Bush Elephant
African Civet
African Clawed Frog
African Elephant
African Fish Eagle
African Forest Elephant
African Golden Cat
African Grey Parrot
African Jacana
African Palm Civet
African Penguin
African Sugarcane Borer
African Tree Toad
Africanized bee (killer bee)
Agama Lizard
Agkistrodon Contortrix
Agouti
Aidi
Ainu
Akbash
Alaskan Klee Kai
Alaskan Pollock
Albacore Tuna
Albatross
Albertonectes
Albino (Amelanistic) Corn Snake
Aldabra Giant Tortoise
Alligator Gar
Allosaurus
Alpaca
Alpine Dachsbracke
Alpine Goat
Alusky
Amano Shrimp
Amargasaurus
Amazon Parrot
Amazon River Dolphin (Pink Dolphin)
Amazon Tree Boa
Amazonian Royal Flycatcher
Amberjack
Ambrosia Beetle
American Alligator
American Alsatian
American Bully
American Cockroach
American Eel
American Paddlefish
American Pygmy Goat
American Robin
American Toad
American Wirehair
Amethystine Python (Scrub Python)
Amphicoelias Fragillimus
Amur Leopard
Anaconda
Anchovy
Andrewsarchus
Angelfish
Angled Sunbeam Caterpillar
Anglerfish
Angora Ferret
Angora Goat
Anhinga
Anna's Hummingbird
Anole Lizard
Anomalocaris
Ant
Antarctic Scale Worm
Anteater
Antelope
Anteosaurus
Antiguan Racer Snake
Aoudad Sheep
Ape
Apennine Wolf
Apple Moth
Arabian Cobra
Arabian Wolf
Arafura File Snake
Arambourgiania
Arapaima
Archaeoindris
Archaeopteryx
Archaeotherium
Archelon Turtle
Archerfish
Arctic Char
Arctic Fox
Arctic Hare
Arctic Wolf
Arctodus
Arctotherium
Argentavis Magnificens
Argentine Black and White Tegu
Argentine Horned Frog
Argentinosaurus
Arizona Bark Scorpion
Arizona Black Rattlesnake
Arizona Blonde Tarantula
Arizona Coral Snake
Armadillo
Armadillo Lizard
Armenian Gampr
Armored Catfish
Armyworm
Arsinoitherium
Arthropleura
Aruba Rattlesnake
Ashy Mining Bee
Asian Arowana
Asian Carp
Asian Cockroach
Asian Elephant
Asian Giant Hornet
Asian Lady Beetle
Asian Longhorn Beetle
Asian Palm Civet
Asian Vine Snake
Asian Water Monitor
Asiatic Black Bear
Asp
Asp Caterpillar
Assassin Bug
Assassin Snail
Atlantic Cod
Atlantic Salmon
Atlantic Sturgeon
Atlas Beetle
Atlas Moth
Aurochs
Aussiedor
Aussiepom
Australian Cockroach
Australian Firehawk
Australian Flathead Perch
Australian Gecko
Australian Mist
Australopithecus
Avocet
Axanthic Ball Python
Axolotl
Ayam Cemani
Aye-aye
Azawakh
Babirusa
Baboon
Bactrian Camel
Badger
Bagworm Moth
Bagworm Moth Caterpillar
Baird's Rat Snake
Bald Eagle
Baleen Whale
Balinese
Balkan Lynx
Ball Python
Bamboo Rat
Bamboo Shark
Bamboo Worms
Banana Ball Python
Banana Cinnamon Ball Python
Banana Eel
Banana Spider
Banded Krait
Banded Palm Civet
Banded Water Snake
Bandicoot
Banjo Catfish
Barb
Barbet
Barbut's Cuckoo Bumblebee
Barinasuchus
Bark Beetle
Bark Scorpion
Barn Owl
Barn Spider
Barn Swallow
Barnacle
Barnevelder
Barosaurus
Barracuda
Barramundi Fish
Barred Owl
Barreleye Fish (Barrel Eye)
Barylambda
Basilisk Lizard
Basilosaurus
Basking Shark
Bass
Bassador
Basset Fauve de Bretagne
Bassetoodle
Bat
Bat-Eared Fox
Batfish
Baya
Bea-Tzu
Beabull
Beagador
Beaglier
Beago
Bear
Bearded Dragon
Bearded Fireworm
Bearded Vulture
Beaski
Beauceron
Beauty rat snake
Beaver
Bed Bugs
Bee
Bee-Eater
Beefalo
Beetle
Beewolf wasp
Belgian Canary
Belgian Laekenois
Belgian Malinois
Belgian Malinois Mix
Belgian Tervuren
Belted Kingfisher
Beluga Sturgeon
Bengal Tiger
Bergamasco
Berger Blanc Suisse
Berger Picard
Betta Fish (Siamese Fighting Fish)
Bhutan Takin
Bichon Frise
Bigfin Reef Squid
Bighorn Sheep
Bilby
Binturong
Bird
Bird of Paradise
Bird Snake
Birman
Biscuit Beetle
Bismarck Ringed Python
Bison
Black and White Warbler
Black Aphids
Black Bass
Black Crappie
Black Dragon Lizard
Black Mamba
Black Marlin
Black Mouth Cur
Black Pastel Ball Python
Black Rat Snake
Black Rhinoceros
Black Sea Bass
Black Swallowtail
Black Swallowtail Caterpillar
Black Tarantula
Black Throat Monitor
Black Wasp
Black Widow Spider
Black Witch Moth
Black-Bellied Whistling Duck
Black-Footed Ferret
Black-headed python
Black-Tailed Rattlesnake
Blackburnian Warbler
Blackfin Tuna
Blacknose Shark
Blackpoll Warbler
Blacktip Reef Shark
Blacktip Shark
Bladefin Basslet
Blanket Octopus
Blind Snake
Blister Beetle
Blobfish
Blood Python
Blowfly
Blue Andalusian
Blue Belly Lizard
Blue Catfish
Blue Death Feigning Beetle
Blue Dragon Sea Slug
Blue Eyed Pleco
Blue Grosbeak
Blue Iguana
Blue Jay
Blue Nose Pit Bull
Blue Racer
Blue Shark
Blue Tanager (Blue-Grey Tanager)
Blue Tang
Blue Tit
Blue Whale
Blue-Gray Gnatcatcher
Blue-Ringed Octopus
Bluefin Tuna
Bluefish
Bluegill
Boas
Bobcat
Bobolink
Boelen's python
Boer Goat
Boerboel
Boggle
Boiga
Bolivian Anaconda
Bombardier Beetle
Bombay
Bonefish
Bongo
Bonito Fish
Bonnethead Shark
Bonobo
Booby
Boomslang
Booted Bantam
Borador
Borkie
Bornean Orangutan
Borneo Elephant
Boskimo
Bottlenose Dolphin
Bouvier Des Flandres
Bowfin
Bowhead Whale
Box Jellyfish
Box Tree Moth
Box Turtle
Box-Headed Blood Bee
Boxador
Boxfish
Boxsky
Boxweiler
Bracco Italiano
Brahminy Blindsnake
Braque du Bourbonnais
Braque Francais
Brazilian Black Tarantula
Brazilian Treehopper
Bredl's Python
Briard
British Timber
Brittany
Brontosaurus
Bronze Whaler Shark
Bronze-winged Jacana
Brook Trout
Brookesia Micra
Brown Bear
Brown Headed Cowbird
Brown Hyena
Brown Snake
Brown Tree Snake
Brown Water Snake
Brown-banded Cockroach
Brug
Brussels Griffon
Budgerigar
Buffalo
Buffalo Fish
Bull Shark
Bull Trout
Bullfrog
Bullsnake
Bumblebee
Burmese
Burmese Python
Burrowing Frog
Burrowing Owl
Bush Baby
Bush Viper
Bushmaster Snake
Butterfly
Butterfly Fish
Cabbage Moth
Cactus Moth
Cactus Mouse
Cactus Wren
Caecilian
Caiman
Caiman Lizard
California Condor
California Kingsnake
California Tarantula
Camel
Camel Cricket
Camel Spider
Canada Lynx
Canada Warbler
Canadian Horse
Cane Corso
Cane Rat
Cane Spider
Cantil
Canvasback
Cape Lion
Capybara
Caracal
Cardinals
Caribbean Reef Shark
Caribou
Carolina Parakeet
Carp
Carpenter Ant
Carpet Beetle
Carpet Python
Carpet Viper
Carrion Beetle
Cascabel
Cashmere Goat
Cassowary
Cat
Cat Snake
Cat-Eyed Snake
Cat-Faced Spider
Caterpillar
Catfish
Cava Tzu
Cavador
Cave Bear
Cave Lion
Cecropia Moth
Cedar Waxwing
Centipede
Central Ranges Taipan
Cephalaspis
Ceratopsian
Ceratosaurus
Cervalces latifrons (Broad-Fronted Moose)
Cesky Fousek
Chain Pickerel
Chameleon
Chamois
Chartreux
Cheagle
Checkered Garter Snake
Cheetah
Chestnut-Sided Warbler
Chorkie
Chow Chow
Chow Pom
Christmas Beetle
Christmas Island Red Crab
Chromodoris Willani
Cicada
Cichlid
Cinereous Vulture
Cinnamon Ball Python
Cinnamon Bear
Cinnamon Ferret
Clark's Grebe
Clearnose Skate
Click Beetle
Clock Spider
Clothes Moth
Clouded Leopard
Clownfish
Coachwhip Snake
Coastal Carpet Python
Coastal Taipan
Coati
Cobalt Blue Tarantula
Cobia Fish
Cobras
Cockalier
Cockatiel
Cockatoo
Cockle
Cockroach
Coconut Crab
Codfish
Codling Moth
Coelacanth
Collared Peccary
Collett's Snake
Colossal Squid
Comb Jellyfish
Comb-crested Jacana
Comet Moth
Common Angelshark
Common Buzzard
Common Carp
Common European Adder
Common Frog
Common Furniture Beetle
Common Goldeneye
Common Grackle
Common Green Magpie
Common House Spider
Common Loon
Common Raven
Common Spotted Cuscus
Common Toad
Common Yellowthroat
Compsognathus
Cone Snail
Conger Eel
Congo Snake
Conure
Cookiecutter Shark
Cooper's Hawk
Copperhead
Coral
Coral Snake
Corella
Corkie
Cormorant
Corn Earworm
Corn Rex Cat (Cornish Rex)
Corn Snake
Cory Catfish
Coryphodon
Cosmic Caterpillar
Costa’s Hummingbird
Coton de Tulear
Cotton-top Tamarin
Cottonmouth
Coues Deer
Cougar
Cow
Cow Reticulated Python
Coyote
Crab
Crab Spider
Crab-Eating Fox
Crab-Eating Macaque
Crabeater Seal
Crane
Crappie Fish
Crayfish
Crested Gecko
Crested Penguin
Cricket
Crocodile
Crocodile Monitor
Crocodile Shark
Crocodylomorph
Cross Fox
Cross River Gorilla
Crow
Crucian Carp
Cryolophosaurus
Cuban Boa
Cuban Cockroach
Cubera Snapper
Cuckoo
Cucumber Beetle
Curly Hair Tarantula
Cuttlefish
Dachsador
Daeodon
Dalmador
Dalmatian
Dalmatian Mix
Damselfish
Daniff
Danio
Dark-Eyed Junco
Darkling Beetle
Darwin's fox
Darwin's Frog
Daug
De Brazza's Monkey
De Kay's Brown Snake
Death Adder
Death's Head Cockroach
Deathwatch Beetle
Decorator Crab
Deer
Deer Mouse
Deer Tick
Deinocheirus
Deinosuchus
Desert Ghost Ball Python
Desert Kingsnake
Desert Locust
Desert Rain Frog
Desert Tortoise
Desert Wolf
Desmostylus
Deutsche Bracke
Devil's Coach Horse Beetle
Devon Rex
Dhole
Diamond Python
Diamondback Moth
Dickcissel
Dickinsonia
Dik-Dik
Dilophosaurus
Dimetrodon
Diminutive Woodrat
Dingo
Dinocrocuta
Dinofelis
Dinopithecus
Dinosaur Shrimp
Dinosaurs
Diplodocus
Diprotodon
Dire Wolf
Disco Clam
Discus
Diving Bell Spider (Water Spider)
Diving Duck
Dobsonfly
Dodo
Doedicurus
Dolphin
Donkey
Dorgi
Dorkie
Dormouse
Douc
Downy Woodpecker
Doxle
Draco Volans Lizard
Dragon Eel
"""Dragon Snake (Javan Tubercle Snake, Javan Mudsnake)"""
Dragonfish
Dragonfly
Dreadnoughtus
Drever
Dried Fruit Moth
Dromornis stirtoni
Drum Fish
Dubia Cockroach
Duck
Dugong
Dumeril's Boa
Dung Beetle
Dungeness Crab
Dunker
Dunkleosteus
Dunnock
Dusky Dolphin
Dusky Shark
Dutch Rabbit
Dwarf Boa
Dwarf Crocodile
Dwarf Gourami
Dwarf Hamster
Eagle
Eagle Ray
Eared Grebe
Earless Monitor Lizard
Earthworm
Earwig
Eastern Barred Bandicoot
Eastern Bluebird
Eastern Box Turtle
Eastern Brown Snake
Eastern Coral Snake
Eastern Cottontail
Eastern Diamondback Rattlesnake
Eastern Dobsonfly
Eastern Fence Lizard
Eastern Glass Lizard
Eastern Gorilla
Eastern Gray Squirrel
Eastern Green Mamba
Eastern Hognose Snake
Eastern Indigo Snake
Eastern Kingbird
Eastern Lowland Gorilla
Eastern Meadowlark
Eastern Phoebe
Eastern Racer
Eastern Rat Snake
Eastern Tiger Snake
Eastern Turkey (Wild Turkey)
Eastern Woodrat
Eclectus Parrot
Edible Frog
Eel
Eel catfish
Eelpout
Egret
Egyptian Cobra (Egyptian Asp)
Egyptian Goose
Egyptian Mau
Egyptian Tortoise
Egyptian Vulture
Eider
Eland
Elasmosaurus
Elasmotherium
Electric Catfish
Electric Eel
Elegant Tern
Elephant
Elephant Beetle
Elephant Bird
Elephant Fish
Elephant Seal
Elephant Shrew
Elf Owl
Elk
Ember Tetra
Embolotherium
Emerald Toucanet
Emerald Tree Boa
Emerald Tree Monitor
Emperor Angelfish
Emperor Goose
Emperor Penguin
Emperor Tamarin
Emu
English Angora Rabbit
English Crested Guinea Pig
English Longhorn Cattle
Epagneul Pont Audemer
Epicyon haydeni
Epidexipteryx
Equatorial Spitting Cobra
Equus giganteus
Ermine
Eryops
Escolar
Euoplocephalus
Eurasian Beaver
Eurasian Bullfinch
Eurasian Collared Dove
Eurasian Eagle-owl
Eurasian Jay
Eurasian Lynx
Eurasian Nuthatch
Eurasian Sparrowhawk
Eurasian Wolf
Eurasier
European Bee-Eater
European Corn Borer
European Goldfinch
European Polecat
European Robin
European Starling
European Wildcat
Eurypterus
Evening Bat
Evening Grosbeak
Executioner Wasp
Eyelash Viper
Fairy-Wren
Falcon
Fallow deer
False Cobra
False coral snake
False Killer Whale
False Water Cobra
False Widow Spider
Fancy Mouse
Fangtooth
Feather Star
Feist
Fennec Fox
Fer-de-lance Snake
Ferret
Ferruginous Hawk
Fiddler Crab
Field Cuckoo Bumblebee
Fierce Snake
Figeater Beetle
Fila Brasileiro
Fin Whale
Finch
Finnish Lapphund
Finnish Spitz
Fire Ball Python
Fire Eel
Fire Salamander
Fire-Bellied Toad
Firefly
Firefly Ball Python
Fish
Fisher
Fishing Cat
Fishing Spiders
Flamingo
Flathead Catfish
Flea
Flea Beetle
Fleckvieh Cattle
Florida Gar
Florida Mouse
Florida Panther
Florida Woods Cockroach
Flounder
Flour Beetle
Flowerhorn Fish
Fluke Fish (Summer Flounder)
Fly
Flycatcher
Flying Fish
Flying Lemur
Flying Snake
Flying Squirrel
Football Fish
Forest Cobra
Forest Cuckoo Bumblebee
Fossa
Fox
Fox Snakes
Fox Squirrel
Freeway Ball Python
French Lop
Frenchton
Frengle
Freshwater Crocodile
Freshwater Drum
Freshwater Eel
Freshwater Jellyfish
Freshwater Suckerfish
Freshwater Sunfish
Frigatebird
Frilled Lizard
Frilled Shark
Fritillary Butterfly
Frog
Frogfish
Frug
Fruit Bat
Fruit Fly
Fulvous Whistling Duck
Fur Seal
Furrow Bee
Gaboon Viper
Gadwall
Galapagos Penguin
Galapagos Shark
Galapagos Tortoise
Gar
Garden Eel
Garden Spider
Gargoyle Gecko
Garter Snake
Gastornis
Gazelle
Gecko
Genet
Gentoo Penguin
Geoffroys Tamarin
Gerberian Shepsky
Gerbil
German Cockroach
German Sheppit
German Sheprador
German Spitz
Gharial
Ghost Crab
Giant African Land Snail
Giant Armadillo
Giant Beaver
Giant Clam
Giant Desert Centipede
Giant Golden Mole
Giant House Spider
Giant Isopod
Giant Leopard Moth
Giant Panda Bear
Giant Salamander
Giant Schnoodle
Giant Siphonophore
Giant Trevally
Giant Weta
Giant Wood Moth
Gibbon
Gigantopithecus
Gila Monster
Giraffe
Glass Frog
Glass Lizard
Glechon
Glowworm
Gnat
Goat
Goberian
Goblin Shark
Goby Fish
Goldador
Goldcrest
Golden Dox
Golden Eagle
Golden Irish
Golden Jackal
Golden Lancehead
Golden Lion Tamarin
Golden Masked Owl
Golden Mole
Golden Newfie
Golden Oriole
Golden Pyrenees
Golden Saint
Golden Shiner
Golden Tortoise Beetle
Golden Trout
Golden-Crowned Flying Fox
Golden-Crowned Kinglet
Goldfish
Goliath Beetle
Goliath Frog
Goliath Grouper
Goliath Tigerfish
Gollie
Gomphotherium
Goonch Catfish
Goose
Gooty Sapphire Tarantula
Gopher
Gopher Snake
Gopher Tortoise
Goral
Gorgosaurus
Gorilla
Goshawk
Gouldian Finch
Gourami
Grapevine Beetle
Grass Carp
Grass Snake
Grass Spider
Grasshopper
Grasshopper Mouse
Gray Catbird
Gray Fox
Gray Tree Frog
Great Blue Heron
Great Crested Flycatcher
Great Dane
Great Dane Mix
Great Danoodle
Great Egret
Great Hammerhead Shark
Great Kiskadee
Great Plains Rat Snake
Great Potoo Bird
Great Pyrenees
Great Pyrenees Mix
Great White Shark
Grebe
Green Anaconda
Green Anole
Green Aphids
Green Bee-Eater
Green Bottle Blue Tarantula
Green Frog
Green Heron
Green June Beetle
Green Mamba
Green Rat Snake
Green Snake
